Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Tot_Benes,Tot_Submtd_Cvrd_Chrg,Tot_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Dschrgs,Tot_Cvrd_Days,Tot_Days,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_GT_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_API_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_NatInd_Cnt,Bene_Race_Othr_Cnt,Bene_Dual_Cnt,Bene_Ndual_Cnt,Bene_CC_BH_ADHD_OthCD_V1_Pct,Bene_CC_BH_Alcohol_Drug_V1_Pct,Bene_CC_BH_Tobacco_V1_Pct,Bene_CC_BH_Alz_NonAlzdem_V2_Pct,Bene_CC_BH_Anxiety_V1_Pct,Bene_CC_BH_Bipolar_V1_Pct,Bene_CC_BH_Mood_V2_Pct,Bene_CC_BH_Depress_V1_Pct,Bene_CC_BH_PD_V1_Pct,Bene_CC_BH_PTSD_V1_Pct,Bene_CC_BH_Schizo_OthPsy_V1_Pct,Bene_CC_PH_Asthma_V2_Pct,Bene_CC_PH_Afib_V2_Pct,Bene_CC_PH_Cancer6_V2_Pct,Bene_CC_PH_CKD_V2_Pct,Bene_CC_PH_COPD_V2_Pct,Bene_CC_PH_Diabetes_V2_Pct,Bene_CC_PH_HF_NonIHD_V2_Pct,Bene_CC_PH_Hyperlipidemia_V2_Pct,Bene_CC_PH_Hypertension_V2_Pct,Bene_CC_PH_IschemicHeart_V2_Pct,Bene_CC_PH_Osteoporosis_V2_Pct,Bene_CC_PH_Parkinson_V2_Pct,Bene_CC_PH_Arthritis_V2_Pct,Bene_CC_PH_Stroke_TIA_V2_Pct,Bene_Avg_Risk_Scre
10021,Dale Medical Center,126 Hospital Ave,Ozark,36360,AL,1,4.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",159,4329161,2259393,2011404,197,964,975,71.04402516,40,39,44,36,82,77,134,20,,,,,57,102,0.044025157,0.251572327,0.358490566,0.264150943,0.465408805,0.125786164,0.51572327,0.34591195,0.025157233,0.075471698,0.176100629,0.100628931,0.358490566,0.150943396,0.352201258,0.383647799,0.402515723,0.339622642,0.698113208,0.75,0.408805031,0.157232704,0.050314465,0.547169811,0.106918239,1.524307951
10022,Floyd Cherokee Medical Center,400 Northwood Dr,Centre,35960,AL,1,3,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",111,3261058,1334293,1099205,143,590,622,66.67567568,43,29,24,15,60,51,96,11,,,,,50,61,0.045045045,0.450450451,0.540540541,0.18018018,0.648648649,0.261261261,0.576576577,0.540540541,0.09009009,0.144144144,0.198198198,0.135135135,0.171171171,0.162162162,0.36036036,0.441441441,0.369369369,0.36036036,0.702702703,0.75,0.36036036,0.108108108,0.009009009,0.486486487,0.126126126,1.64772001
10023,Baptist Medical Center South,2105 East South Boulevard,Montgomery,36116,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1964,154862184,47986528,37311647,2545,16509,18066,73.24032587,345,640,614,365,1098,866,1278,623,,,,50,480,1484,0.011710794,0.118126273,0.212321792,0.206720978,0.338594705,0.040733198,0.332484725,0.294806517,0.014256619,0.016293279,0.050916497,0.117617108,0.355906314,0.196537678,0.480142566,0.312118126,0.474541752,0.422606925,0.75,0.75,0.517311609,0.152749491,0.034114053,0.524439919,0.310081466,2.156518525
10024,Jackson Hospital & Clinic Inc,1725 Pine Street,Montgomery,36106,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1898,140320381,30645865,24848664,2555,14155,15062,74.76185458,245,627,607,419,945,953,1227,621,11,,,33,412,1486,0.006322445,0.130136986,0.174394099,0.247629083,0.291359326,0.045837724,0.336143309,0.285036881,0.009483667,0.025289779,0.057955743,0.099578504,0.36512118,0.201264489,0.423076923,0.345100105,0.479978925,0.417281349,0.75,0.75,0.515279241,0.132244468,0.033192835,0.640147524,0.223393045,2.13234591
10029,East Alabama Medical Center,2000 Pepperell Parkway,Opelika,36801,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1970,91546693,37714331,29276509,2563,14710,15389,74.02233503,305,619,645,401,1060,910,1486,440,,,,25,433,1537,0.011167513,0.108121827,0.234010152,0.194416244,0.307106599,0.039593909,0.304568528,0.255837564,0.014213198,0.020304569,0.049238579,0.116243655,0.340101523,0.177664975,0.408121827,0.306091371,0.408121827,0.362944162,0.741116751,0.75,0.479187817,0.136040609,0.033502538,0.496446701,0.160913706,1.855350432
10033,University Of Alabama Hospital,619 South 19th Street,Birmingham,35233,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7028,1220328418,277641374,193609276,9350,59001,63789,69.95489471,1592,2682,2003,751,3527,3501,5268,1510,31,55,,,1422,5606,0.021770063,0.135600455,0.207455891,0.15936255,0.389015367,0.05734206,0.390865111,0.353443369,0.023762095,0.025327262,0.040836653,0.117387593,0.341064314,0.206602163,0.411639158,0.282014798,0.430848036,0.389869095,0.75,0.75,0.455179283,0.132754696,0.028457598,0.539556062,0.219123506,2.252103462
10034,Community Hospital Inc,805 Friendship Road,Tallassee,36078,AL,1,7.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",83,1016431,1067501,928629,107,422,428,76.24096386,,19,34,,39,44,70,13,,,,,17,66,0.024096386,0.204819277,0.192771084,0.301204819,0.325301205,0.060240964,0.337349398,0.265060241,0,0.048192771,0.060240964,0.072289157,0.277108434,0.168674699,0.43373494,0.325301205,0.301204819,0.325301205,0.722891566,0.75,0.409638554,0.120481928,0.036144578,0.518072289,0.204819277,1.644104418
10035,Cullman Regional Medical Center,1912 Alabama Highway 157,Cullman,35058,AL,1,5,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1740,79541305,25572166,21903240,2495,9134,9346,76.98965517,189,446,634,471,1021,719,1693,,,14,,20,408,1332,0.017816092,0.102298851,0.213218391,0.263793103,0.385057471,0.052873563,0.455172414,0.381609195,0.038505747,0.016666667,0.053448276,0.079885058,0.36091954,0.179885058,0.402298851,0.33908046,0.44137931,0.493103448,0.75,0.75,0.476436782,0.193103448,0.05,0.60862069,0.248275862,1.798885024
10036,Andalusia Health,849 South Three Notch Street,Andalusia,36420,AL,1,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",509,34169460,6446634,5561386,690,2505,2528,77.12966601,57,122,193,137,291,218,458,45,,,,,144,365,0.015717092,0.168958743,0.26129666,0.304518664,0.432220039,0.05697446,0.361493124,0.320235756,0.068762279,0.023575639,0.060903733,0.123772102,0.42043222,0.233791749,0.58546169,0.469548134,0.453831041,0.510805501,0.75,0.75,0.489194499,0.16502947,0.045186641,0.664047151,0.253438114,1.913814523
10039,Huntsville Hospital,101 Sivley Rd,Huntsville,35801,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7750,833559319,156255172,128433790,10505,60391,62783,75.89148387,753,2535,2764,1698,4144,3606,6695,797,43,91,,,1048,6702,0.015741936,0.1,0.189032258,0.220516129,0.348645161,0.054451613,0.368258065,0.320645161,0.016774194,0.020129032,0.041548387,0.123870968,0.394967742,0.203483871,0.429677419,0.28,0.442451613,0.392387097,0.75,0.75,0.553419355,0.158451613,0.037419355,0.571741936,0.236387097,1.874700414
10040,Gadsden Regional Medical Center,1007 Goodyear Avenue,Gadsden,35903,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1302,323367390,20812823,17405910,1778,9001,9430,71.68356375,289,380,422,211,697,605,1161,106,,14,,19,374,928,0.026113671,0.168970814,0.30952381,0.211981567,0.497695853,0.152841782,0.497695853,0.452380952,0.028417819,0.033026114,0.125960061,0.16359447,0.376344086,0.188172043,0.441628264,0.43625192,0.450076805,0.4093702,0.75,0.75,0.503840246,0.120583717,0.029185868,0.629800307,0.19969278,1.863564487
10044,Marion Regional Medical Center,1256 Military Street South,Hamilton,35570,AL,1,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",97,1941191,1296119,1147319,115,299,302,77.39175258,,26,35,,59,38,97,,,,,,27,70,0,0.134020619,0.206185567,0.329896907,0.412371134,0.257731959,0.474226804,0.453608247,0,0.020618557,0.030927835,0.175257732,0.391752577,0.195876289,0.494845361,0.463917526,0.536082474,0.453608247,0.75,0.75,0.484536083,0.278350516,0.010309278,0.69072165,0.18556701,1.708343528
10045,Fayette Medical Center,1653 Temple Avenue North,Fayette,35555,AL,1,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",149,3242270,1724855,1486100,180,562,573,76.06040269,16,49,50,34,88,61,139,,,,,,49,100,0.006711409,0.11409396,0.22818792,0.201342282,0.362416107,0.080536913,0.348993289,0.315436242,0,0.006711409,0.040268456,0.067114094,0.369127517,0.174496644,0.476510067,0.483221477,0.536912752,0.496644295,0.75,0.75,0.375838926,0.134228188,0.040268456,0.590604027,0.201342282,1.625094604
10046,Riverview Regional Medical Center,600 South Third Street,Gadsden,35901,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1294,141034166,19118189,16417604,1846,8165,8429,73.80989181,214,410,421,249,741,553,1135,129,,11,,14,370,924,0.015455951,0.155332303,0.265842349,0.226429675,0.476043277,0.126738794,0.42812983,0.383307573,0.020092736,0.027820711,0.074188563,0.158423493,0.360896445,0.158423493,0.5625966,0.445131376,0.462132921,0.466769706,0.75,0.75,0.536321484,0.139876352,0.033230294,0.63446677,0.184698609,2.028495755
10049,Medical Center Enterprise,400 N Edwards Street,Enterprise,36330,AL,1,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",563,64346172,6607891,5476899,695,2348,2418,75.87211368,58,159,222,124,312,251,482,53,,11,,12,106,457,0.005328597,0.09946714,0.230905862,0.257548846,0.342806394,0.042628774,0.406749556,0.344582593,0.007104796,0.037300178,0.056838366,0.129662522,0.342806394,0.188277087,0.373001776,0.348134991,0.429840142,0.378330373,0.747779751,0.75,0.371225577,0.163410302,0.037300178,0.584369449,0.20071048,1.613835261
10051,Greene County Hospital,509 Wilson Avenue,Eutaw,35462,AL,1,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",16,210089,146808,133208,17,115,115,59.75,,,,,,,,,,,,,,,0.125,0.6875,0.625,0.125,0.6875,0.4375,0.6875,0.625,0.25,0.1875,0.375,0.3125,0.0625,0.125,0.125,0.375,0.4375,0.1875,0.5,0.75,0.1875,0,0,0.5,0.125,1.749878314
10052,Lake Martin Community Hospital,201 Mariarden Road,Dadeville,36853,AL,1,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",84,714107,888620,737021,111,350,361,71.97619048,,30,28,,47,37,67,16,,,,,24,60,0,0.238095238,0.25,0.238095238,0.345238095,0.071428571,0.380952381,0.369047619,0,0.05952381,0.095238095,0.130952381,0.273809524,0.202380952,0.5,0.476190476,0.404761905,0.404761905,0.714285714,0.75,0.511904762,0.142857143,0.083333333,0.619047619,0.119047619,1.606262897
10055,Flowers Hospital,4370 West Main Street,Dothan,36305,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2350,366264322,35763935,28710514,2961,12995,13910,74.96297872,269,769,872,440,1227,1123,2032,257,,24,,28,451,1899,0.01106383,0.085531915,0.221702128,0.193191489,0.414042553,0.041276596,0.375744681,0.344255319,0.009787234,0.029361702,0.040425532,0.132340426,0.356595745,0.194893617,0.4,0.326808511,0.462553192,0.381702128,0.75,0.75,0.460425532,0.145957447,0.033191489,0.585957447,0.211489362,1.808552437
10056,St Vincent's Birmingham,810 St Vincent's Drive,Birmingham,35205,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2850,208448624,47649081,38990760,3639,18211,19144,76.05614035,260,966,980,644,1563,1287,2417,367,,21,,39,368,2482,0.014385965,0.134385965,0.173333333,0.230526316,0.387719298,0.06,0.399649123,0.368070175,0.024561404,0.015438597,0.052631579,0.128070175,0.38877193,0.212982456,0.478947368,0.325263158,0.470175439,0.408421053,0.75,0.75,0.490526316,0.159649123,0.037192983,0.633684211,0.22,1.99963151
10058,Bibb Medical Center,208 Pierson Ave,Centreville,35042,AL,1,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",61,574357,813669,715401,75,344,347,81.40983607,,12,18,,44,17,53,,,,,,26,35,0.016393443,0.065573771,0.098360656,0.573770492,0.491803279,0.147540984,0.475409836,0.409836066,0.016393443,0,0.049180328,0.114754098,0.344262295,0.180327869,0.573770492,0.393442623,0.409836066,0.409836066,0.75,0.75,0.344262295,0.295081967,0.131147541,0.704918033,0.213114754,2.116850472
10059,Lawrence Medical Center,202 Hospital Street,Moulton,35650,AL,1,7.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",77,952897,858832,750812,96,315,321,75.58441558,,25,29,,39,38,72,,,,,,29,48,0.077922078,0.077922078,0.324675325,0.311688312,0.506493507,0.038961039,0.480519481,0.428571429,0,0.012987013,0.077922078,0.103896104,0.337662338,0.12987013,0.415584416,0.454545455,0.584415584,0.467532468,0.75,0.75,0.467532468,0.207792208,0.051948052,0.584415584,0.220779221,1.759267316
10061,Highlands Medical Center,380 Woods Cove Road,Scottsboro,35768,AL,1,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",431,13016027,5515928,4790252,522,2315,2343,76.49883991,55,111,146,119,276,155,415,11,,,,,150,281,0.009280743,0.13225058,0.22737819,0.334106729,0.515081207,0.081206497,0.429234339,0.37587007,0.006960557,0.016241299,0.076566125,0.136890951,0.352668214,0.150812065,0.450116009,0.412993039,0.494199536,0.475638051,0.75,0.75,0.505800464,0.153132251,0.064965197,0.649651972,0.187935035,1.827145284
10062,Wiregrass Medical Center,1200 W Maple Avenue,Geneva,36340,AL,1,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",76,1312831,965083,855949,95,481,485,70.89473684,17,18,25,16,25,51,62,12,,,,,33,43,0.02631579,0.328947368,0.407894737,0.197368421,0.368421053,0.184210526,0.539473684,0.513157895,0.02631579,0.078947368,0.197368421,0.078947368,0.302631579,0.131578947,0.447368421,0.486842105,0.394736842,0.460526316,0.671052632,0.75,0.407894737,0.078947368,0,0.5,0.157894737,1.68656563
10065,Russell Medical Center,3316 Highway 280,Alexander City,35010,AL,1,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",331,7601955,4267470,3653708,393,1246,1275,77.01510574,37,79,128,87,156,175,281,43,,,,,63,268,0.006042296,0.105740181,0.18429003,0.271903323,0.302114804,0.045317221,0.374622357,0.29305136,0.006042296,0.03021148,0.048338369,0.060422961,0.438066465,0.175226586,0.598187311,0.422960725,0.429003021,0.495468278,0.75,0.75,0.619335347,0.129909366,0.063444109,0.694864048,0.16918429,2.094662684
10069,Medical Center Barbour,820 W Washington St,Eufaula,36027,AL,1,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",170,3355261,1956537,1680863,211,676,705,76.64117647,19,42,60,49,104,66,123,41,,,,,53,117,0.011764706,0.152941177,0.229411765,0.241176471,0.441176471,0.076470588,0.411764706,0.376470588,0.005882353,0.011764706,0.1,0.141176471,0.335294118,0.164705882,0.394117647,0.341176471,0.429411765,0.405882353,0.75,0.75,0.370588235,0.135294118,0.023529412,0.5,0.211764706,2.033161547
10073,Clay County Hospital,83825 Highway 9    P O Box 1270,Ashland,36251,AL,1,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",142,3074084,2131321,1872091,199,996,1016,71.41549296,42,33,34,33,67,75,121,20,,,,,67,75,0.049295775,0.345070423,0.408450704,0.267605634,0.570422535,0.154929578,0.591549296,0.542253521,0.063380282,0.105633803,0.154929578,0.14084507,0.345070423,0.11971831,0.373239437,0.492957747,0.408450704,0.394366197,0.75,0.75,0.415492958,0.091549296,0.035211268,0.584507042,0.126760563,1.697734742
10078,Northeast Alabama Regional Medical Center,400 East 10th Street,Anniston,36207,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1869,183477197,31363092,26723547,2680,14205,14778,74.16532905,289,587,615,378,1088,781,1547,254,11,20,,,442,1427,0.009630819,0.170144462,0.275548422,0.245050829,0.417335474,0.077581594,0.415195292,0.366506153,0.023542001,0.031567683,0.050829321,0.144462279,0.37988229,0.164794008,0.448368111,0.444622793,0.467094703,0.436062065,0.75,0.75,0.550561798,0.176029963,0.031567683,0.645799893,0.187800963,2.009262868
10079,Athens Limestone Hospital,700 West Market Street,Athens,35611,AL,1,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",847,29744791,11095941,9390324,1072,4222,4343,76.08382527,89,263,302,193,496,351,777,51,,,,,171,676,0.025974026,0.107438017,0.212514758,0.247933884,0.364817001,0.066115703,0.46635183,0.375442739,0.017709563,0.016528926,0.056670602,0.126328217,0.337662338,0.193624557,0.432113341,0.365997639,0.45218418,0.413223141,0.75,0.75,0.472255018,0.177095632,0.048406139,0.615112161,0.177095632,1.850604342
10083,South Baldwin Regional Medical Center,1613 North Mckenzie Street,Foley,36535,AL,1,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1247,174891476,18659520,15373045,1564,6450,6670,76.37289495,82,423,484,258,660,587,1180,35,,12,,16,137,1110,0.015236568,0.112269447,0.182036889,0.186046512,0.327987169,0.032878909,0.327987169,0.303127506,0.009623095,0.018444266,0.03127506,0.109061748,0.387329591,0.222935044,0.39935846,0.345629511,0.410585405,0.405773857,0.75,0.75,0.55894146,0.185244587,0.024859663,0.56776263,0.171611869,1.757329883
10085,Decatur Morgan Hospital-Decatur Campus,1201 7th Street Se,Decatur,35601,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1562,61772073,22675546,18558262,2089,11547,12071,76.22599232,168,440,581,373,879,683,1393,124,,19,,22,321,1241,0.020486556,0.121638925,0.222791293,0.257362356,0.372599232,0.04609475,0.408450704,0.365556978,0.021126761,0.019206146,0.043533931,0.099871959,0.382202305,0.206786172,0.445582586,0.375800256,0.47631242,0.414852753,0.75,0.75,0.464788732,0.165172855,0.037131882,0.603713188,0.173495519,1.978791793
10086,Northwest Medical Center,1530 U S Highway 43,Winfield,35594,AL,1,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",249,8504610,2861171,2407314,314,1068,1102,75.85542169,31,72,83,63,147,102,241,,,,,,93,156,0.016064257,0.164658635,0.265060241,0.277108434,0.522088353,0.096385542,0.518072289,0.469879518,0.020080321,0.008032129,0.076305221,0.088353414,0.325301205,0.200803213,0.53815261,0.485943775,0.502008032,0.373493976,0.75,0.75,0.425702811,0.208835341,0.036144578,0.634538153,0.261044177,1.949987002
10087,Usa Health University Hospital,2451 Fillingim Street,Mobile,36617,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1310,90299353,43932192,28818965,1646,12108,14520,70.32519084,303,467,366,174,639,671,932,337,,,,23,324,986,0.023664122,0.145801527,0.254198473,0.206870229,0.334351145,0.04351145,0.354961832,0.31908397,0.016030534,0.038167939,0.054198473,0.095419847,0.277862595,0.194656489,0.363358779,0.234351145,0.416030534,0.326717557,0.719847328,0.75,0.435114504,0.122900763,0.047328244,0.472519084,0.303053435,1.93143249
